Temperature,GVelocity,LVelocity,VoidFraction,Location
323.02,0.00016755,0.79813,0.013037,0.013481
323.02,0.00016748,0.79808,0.012945,0.013464
323.02,0.00016738,0.79801,0.012855,0.013447
323.02,0.00016729,0.79794,0.012766,0.013431
323.02,0.0001672,0.79788,0.012677,0.013415
323.02,0.0001671,0.79781,0.012587,0.013398
323.02,0.00016701,0.79774,0.012498,0.013381
323.02,0.00016692,0.79767,0.012409,0.013365
323.02,0.00016682,0.7976,0.01232,0.013349
323.02,0.00016673,0.79753,0.01223,0.013332
323.02,0.00016663,0.79746,0.012141,0.013315
323.02,0.00016654,0.7974,0.012052,0.013299
323.02,0.00016645,0.79733,0.011962,0.013283
323.02,0.00016635,0.79726,0.011873,0.013266
323.02,0.00016626,0.79719,0.011784,0.013249
323.02,0.00016617,0.79712,0.011695,0.013233
323.02,0.00016607,0.79705,0.011605,0.013217
323.02,0.00016598,0.79698,0.011516,0.0132
323.02,0.00016588,0.79692,0.011427,0.013183
323.02,0.00016575,0.79682,0.011343,0.013167
323.02,0.00016553,0.79666,0.011268,0.013151
323.02,0.00016532,0.79651,0.011194,0.013134
323.02,0.00016511,0.79636,0.011119,0.013117
323.02,0.00016489,0.7962,0.011045,0.013101
323.02,0.00016468,0.79605,0.01097,0.013085
323.02,0.00016447,0.79589,0.010896,0.013068
323.02,0.00016425,0.79574,0.010821,0.013051
323.02,0.00016404,0.79559,0.010747,0.013035
323.02,0.00016382,0.79543,0.010672,0.013019
323.02,0.00016361,0.79528,0.010598,0.013002
323.02,0.0001634,0.79512,0.010523,0.012985
323.02,0.00016318,0.79497,0.010449,0.012969
323.02,0.00016297,0.79481,0.010374,0.012953
323.02,0.00016275,0.79466,0.0103,0.012936
323.02,0.00016254,0.79451,0.010225,0.012919
323.02,0.00016233,0.79435,0.010151,0.012903
323.02,0.00016211,0.7942,0.010076,0.012886
323.02,0.0001619,0.79404,0.010002,0.01287
323.02,0.00016169,0.79389,0.0099273,0.012854
323.02,0.0001614,0.79369,0.009861,0.012837
323.02,0.00016108,0.79346,0.0097995,0.01282
323.02,0.00016076,0.79322,0.0097381,0.012804
323.02,0.00016044,0.79299,0.0096766,0.012788
323.02,0.00016012,0.79276,0.0096151,0.012771
323.02,0.00015979,0.79253,0.0095536,0.012754
323.02,0.00015947,0.7923,0.0094922,0.012738
323.02,0.00015915,0.79207,0.0094307,0.012722
323.02,0.00015883,0.79184,0.0093692,0.012705
323.02,0.0001585,0.7916,0.0093078,0.012688
323.02,0.00015818,0.79137,0.0092463,0.012672
323.02,0.00015786,0.79114,0.0091848,0.012656
323.02,0.00015754,0.79091,0.0091233,0.012639
323.02,0.00015722,0.79068,0.0090619,0.012622
323.02,0.00015689,0.79045,0.0090004,0.012606
323.02,0.00015657,0.79022,0.0089389,0.01259
323.02,0.00015625,0.78998,0.0088775,0.012573
323.02,0.00015593,0.78975,0.008816,0.012556
323.02,0.00015561,0.78952,0.0087545,0.01254
323.02,0.00015528,0.78929,0.008693,0.012524
323.02,0.00015496,0.78906,0.0086316,0.012507
323.02,0.00015458,0.78878,0.0085755,0.01249
323.02,0.00015415,0.78847,0.0085233,0.012474
323.02,0.00015372,0.78816,0.0084712,0.012458
323.02,0.0001533,0.78785,0.008419,0.012441
323.02,0.00015287,0.78754,0.0083669,0.012424
323.02,0.00015244,0.78723,0.0083148,0.012408
323.02,0.00015201,0.78692,0.0082626,0.012392
323.02,0.00015159,0.78661,0.0082105,0.012375
323.02,0.00015116,0.7863,0.0081583,0.012358
323.02,0.00015073,0.78599,0.0081062,0.012342
323.02,0.0001503,0.78568,0.008054,0.012326
323.02,0.00014988,0.78537,0.0080019,0.012309
323.02,0.00014945,0.78505,0.0079498,0.012292
323.02,0.00014902,0.78474,0.0078976,0.012276
323.02,0.0001486,0.78443,0.0078455,0.01226
323.02,0.00014817,0.78412,0.0077933,0.012243
323.02,0.00014774,0.78381,0.0077412,0.012226
323.02,0.00014731,0.7835,0.007689,0.01221
323.02,0.00014689,0.78319,0.0076369,0.012194
323.02,0.00014646,0.78288,0.0075848,0.012177
323.02,0.00014603,0.78257,0.0075326,0.01216
323.02,0.00014555,0.78221,0.0074838,0.012144
323.02,0.00014502,0.78182,0.0074382,0.012128
323.02,0.00014449,0.78142,0.0073925,0.012111
323.02,0.00014397,0.78102,0.0073469,0.012094
323.02,0.00014344,0.78063,0.0073012,0.012078
323.02,0.00014291,0.78023,0.0072556,0.012061
323.01,0.00014238,0.77983,0.0072099,0.012045
323.01,0.00014185,0.77943,0.0071643,0.012029
323.01,0.00014132,0.77904,0.0071186,0.012012
323.01,0.00014079,0.77864,0.007073,0.011995
323.01,0.00014026,0.77824,0.0070273,0.011979
323.01,0.00013974,0.77784,0.0069816,0.011963
323.01,0.00013921,0.77745,0.006936,0.011946
323.01,0.00013868,0.77705,0.0068903,0.011929
323.01,0.00013815,0.77665,0.0068447,0.011913
323.01,0.00013762,0.77626,0.006799,0.011897
323.01,0.00013709,0.77586,0.0067534,0.01188
323.01,0.00013656,0.77546,0.0067077,0.011863
323.01,0.00013603,0.77506,0.0066621,0.011847
323.01,0.00013551,0.77467,0.0066164,0.011831
323.01,0.00013492,0.7742,0.0065753,0.011814
323.01,0.00013432,0.77372,0.0065354,0.011797
323.01,0.00013372,0.77324,0.0064955,0.011781
323.01,0.00013312,0.77276,0.0064556,0.011765
323.01,0.00013252,0.77228,0.0064156,0.011748
323.01,0.00013192,0.7718,0.0063757,0.011731
323.01,0.00013131,0.77132,0.0063358,0.011715
323.01,0.00013071,0.77084,0.0062959,0.011699
323.01,0.00013011,0.77036,0.0062559,0.011682
