CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location
1500,100,0.02,0.011119,0.013117
1500,100,0.02,0.011045,0.013101
1500,100,0.02,0.01097,0.013085
1500,100,0.02,0.010896,0.013068
1500,100,0.02,0.010821,0.013051
1500,100,0.02,0.010747,0.013035
1500,100,0.02,0.010672,0.013019
1500,100,0.02,0.010598,0.013002
1500,100,0.02,0.010523,0.012985
1500,100,0.02,0.010449,0.012969
1500,100,0.02,0.010374,0.012953
1500,100,0.02,0.0103,0.012936
1500,100,0.02,0.010225,0.012919
1500,100,0.02,0.010151,0.012903
1500,100,0.02,0.010076,0.012886
1500,100,0.02,0.010002,0.01287
1500,100,0.02,0.0099273,0.012854
1500,100,0.02,0.009861,0.012837
1500,100,0.02,0.0097995,0.01282
1500,100,0.02,0.0097381,0.012804
1500,100,0.02,0.0096766,0.012788
1500,100,0.02,0.0096151,0.012771
1500,100,0.02,0.0095536,0.012754
1500,100,0.02,0.0094922,0.012738
1500,100,0.02,0.0094307,0.012722
1500,100,0.02,0.0093692,0.012705
1500,100,0.02,0.0093078,0.012688
1500,100,0.02,0.0092463,0.012672
1500,100,0.02,0.0091848,0.012656
1500,100,0.02,0.0091233,0.012639
1500,100,0.02,0.0090619,0.012622
1500,100,0.02,0.0090004,0.012606
1500,100,0.02,0.0089389,0.01259
1500,100,0.02,0.0088775,0.012573
1500,100,0.02,0.008816,0.012556
1500,100,0.02,0.0087545,0.01254
1500,100,0.02,0.008693,0.012524
1500,100,0.02,0.0086316,0.012507
1500,100,0.02,0.0085755,0.01249
1500,100,0.02,0.0085233,0.012474
1500,100,0.02,0.0084712,0.012458
1500,100,0.02,0.008419,0.012441
1500,100,0.02,0.0083669,0.012424
1500,100,0.02,0.0083148,0.012408
1500,100,0.02,0.0082626,0.012392
1500,100,0.02,0.0082105,0.012375
1500,100,0.02,0.0081583,0.012358
1500,100,0.02,0.0081062,0.012342
1500,100,0.02,0.008054,0.012326
1500,100,0.02,0.0080019,0.012309
1500,100,0.02,0.0079498,0.012292
1500,100,0.02,0.0078976,0.012276
1500,100,0.02,0.0078455,0.01226
1500,100,0.02,0.0077933,0.012243
1500,100,0.02,0.0077412,0.012226
1500,100,0.02,0.007689,0.01221
1500,100,0.02,0.0076369,0.012194
1500,100,0.02,0.0075848,0.012177
1500,100,0.02,0.0075326,0.01216
1500,100,0.02,0.0074838,0.012144
1500,100,0.02,0.0074382,0.012128
1500,100,0.02,0.0073925,0.012111
1500,100,0.02,0.0073469,0.012094
1500,100,0.02,0.0073012,0.012078
1500,100,0.02,0.0072556,0.012061
1500,100,0.01,0.0072099,0.012045
1500,100,0.01,0.0071643,0.012029
1500,100,0.01,0.0071186,0.012012
1500,100,0.01,0.007073,0.011995
1500,100,0.01,0.0070273,0.011979
1500,100,0.01,0.0069816,0.011963
1500,100,0.01,0.006936,0.011946
1500,100,0.01,0.0068903,0.011929
1500,100,0.01,0.0068447,0.011913
1500,100,0.01,0.006799,0.011897
1500,100,0.01,0.0067534,0.01188
1500,100,0.01,0.0067077,0.011863
1500,100,0.01,0.0066621,0.011847
1500,100,0.01,0.0066164,0.011831
1500,100,0.01,0.0065753,0.011814
1500,100,0.01,0.0065354,0.011797
1500,100,0.01,0.0064955,0.011781
1500,100,0.01,0.0064556,0.011765
1500,100,0.01,0.0064156,0.011748
1500,100,0.01,0.0063757,0.011731
1500,100,0.01,0.0063358,0.011715
1500,100,0.01,0.0062959,0.011699
1500,100,0.01,0.0062559,0.011682
1500,100,0.01,0.006216,0.011665
1500,100,0.01,0.0061761,0.011649
1500,100,0.01,0.0061362,0.011633
1500,100,0.01,0.0060962,0.011616
1500,100,0.01,0.0060563,0.011599
1500,100,0.01,0.0060164,0.011583
1500,100,0.01,0.0059765,0.011567
1500,100,0.01,0.0059365,0.01155
1500,100,0.01,0.0058966,0.011533
1500,100,0.01,0.0058582,0.011517
1500,100,0.01,0.0058228,0.011501
1500,100,0.01,0.0057874,0.011484
1500,100,0.01,0.0057521,0.011467
1500,100,0.01,0.0057167,0.011451
1500,100,0.01,0.0056813,0.011435
