CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location
3500,100,0.07,0.014594,0.003894
3500,100,0.07,0.014493,0.00391
3500,100,0.07,0.014391,0.003927
3500,100,0.07,0.01429,0.003944
3500,100,0.07,0.014189,0.00396
3500,100,0.07,0.014088,0.003976
3500,100,0.07,0.013986,0.003993
3500,100,0.07,0.013894,0.00401
3500,100,0.07,0.013807,0.004026
3500,100,0.07,0.013721,0.004042
3500,100,0.07,0.013634,0.004059
3500,100,0.07,0.013548,0.004076
3500,100,0.07,0.013461,0.004092
3500,100,0.07,0.013375,0.004108
3500,100,0.07,0.013288,0.004125
3500,100,0.07,0.013202,0.004142
3500,100,0.07,0.013115,0.004158
3500,100,0.07,0.013029,0.004174
3500,100,0.07,0.012942,0.004191
3500,100,0.07,0.012856,0.004208
3500,100,0.07,0.012769,0.004224
3500,100,0.07,0.012683,0.00424
3500,100,0.07,0.012596,0.004257
3500,100,0.07,0.012509,0.004274
3500,100,0.07,0.012423,0.00429
3500,100,0.07,0.012336,0.004306
3500,100,0.07,0.01225,0.004323
3500,100,0.07,0.012163,0.00434
3500,100,0.07,0.012083,0.004356
3500,100,0.07,0.012007,0.004372
3500,100,0.07,0.011932,0.004389
3500,100,0.07,0.011856,0.004406
3500,100,0.07,0.011781,0.004422
3500,100,0.07,0.011706,0.004439
3500,100,0.07,0.01163,0.004455
3500,100,0.07,0.011555,0.004471
3500,100,0.07,0.011479,0.004488
3500,100,0.07,0.011404,0.004505
3500,100,0.07,0.011328,0.004521
3500,100,0.07,0.011253,0.004537
3500,100,0.07,0.011178,0.004554
3500,100,0.07,0.011102,0.004571
3500,100,0.07,0.011027,0.004587
3500,100,0.07,0.010951,0.004603
3500,100,0.07,0.010876,0.00462
3500,100,0.07,0.0108,0.004637
3500,100,0.07,0.010725,0.004653
3500,100,0.07,0.01065,0.004669
3500,100,0.07,0.010582,0.004686
3500,100,0.07,0.010517,0.004703
3500,100,0.07,0.010452,0.004719
3500,100,0.07,0.010386,0.004735
3500,100,0.07,0.010321,0.004752
3500,100,0.07,0.010256,0.004769
3500,100,0.07,0.01019,0.004785
3500,100,0.07,0.010125,0.004801
3500,100,0.07,0.010059,0.004818
3500,100,0.07,0.0099942,0.004835
3500,100,0.07,0.0099288,0.004851
3500,100,0.07,0.0098635,0.004867
3500,100,0.07,0.0097981,0.004884
3500,100,0.07,0.0097328,0.004901
3500,100,0.07,0.0096675,0.004917
3500,100,0.07,0.0096021,0.004933
3500,100,0.07,0.0095368,0.00495
3500,100,0.07,0.0094715,0.004967
3500,100,0.07,0.0094088,0.004983
3500,100,0.07,0.0093515,0.004999
3500,100,0.07,0.0092942,0.005016
3500,100,0.07,0.0092369,0.005033
3500,100,0.07,0.0091797,0.005049
3500,100,0.07,0.0091224,0.005065
3500,100,0.07,0.0090651,0.005082
3500,100,0.07,0.0090078,0.005099
3500,100,0.07,0.0089505,0.005115
3500,100,0.07,0.0088933,0.005131
3500,100,0.07,0.008836,0.005148
3500,100,0.07,0.0087787,0.005165
3500,100,0.07,0.0087214,0.005181
3500,100,0.07,0.0086641,0.005197
3500,100,0.07,0.0086069,0.005214
3500,100,0.07,0.0085496,0.005231
3500,100,0.07,0.0084923,0.005247
3500,100,0.07,0.0084352,0.005264
3500,100,0.07,0.0083845,0.00528
3500,100,0.07,0.0083337,0.005296
3500,100,0.07,0.008283,0.005313
3500,100,0.07,0.0082322,0.00533
3500,100,0.07,0.0081815,0.005346
3500,100,0.07,0.0081307,0.005362
3500,100,0.07,0.00808,0.005379
3500,100,0.07,0.0080292,0.005396
3500,100,0.07,0.0079784,0.005412
3500,100,0.07,0.0079277,0.005428
3500,100,0.07,0.0078769,0.005445
3500,100,0.07,0.0078262,0.005462
3500,100,0.07,0.0077754,0.005478
3500,100,0.07,0.0077247,0.005494
3500,100,0.07,0.0076739,0.005511
3500,100,0.07,0.0076232,0.005528
3500,100,0.07,0.0075769,0.005544
3500,100,0.07,0.0075315,0.00556
3500,100,0.07,0.0074861,0.005577
3500,100,0.07,0.0074408,0.005594
3500,100,0.07,0.0073954,0.00561
3500,100,0.07,0.00735,0.005626
3500,100,0.07,0.0073046,0.005643
3500,100,0.07,0.0072593,0.00566
3500,100,0.07,0.0072139,0.005676
3500,100,0.07,0.0071685,0.005692
3500,100,0.07,0.0071231,0.005709
3500,100,0.07,0.0070777,0.005726
3500,100,0.07,0.0070324,0.005742
3500,100,0.07,0.006987,0.005758
3500,100,0.07,0.0069416,0.005775
3500,100,0.07,0.0068992,0.005792
3500,100,0.07,0.0068583,0.005808
3500,100,0.07,0.0068174,0.005824
3500,100,0.07,0.0067765,0.005841
3500,100,0.07,0.0067356,0.005858
3500,100,0.07,0.0066947,0.005874
3500,100,0.07,0.0066538,0.00589
3500,100,0.07,0.0066129,0.005907
3500,100,0.07,0.0065721,0.005924
3500,100,0.07,0.0065312,0.00594
3500,100,0.07,0.0064903,0.005956
3500,100,0.07,0.0064494,0.005973
3500,100,0.07,0.0064085,0.00599
3500,100,0.07,0.0063676,0.006006
3500,100,0.07,0.0063284,0.006022
3500,100,0.07,0.0062913,0.006039
3500,100,0.07,0.0062542,0.006056
3500,100,0.07,0.0062171,0.006072
3500,100,0.07,0.00618,0.006089
3500,100,0.07,0.0061429,0.006105
3500,100,0.07,0.0061058,0.006121
3500,100,0.07,0.0060687,0.006138
3500,100,0.07,0.0060316,0.006155
3500,100,0.07,0.0059945,0.006171
3500,100,0.07,0.0059574,0.006187
3500,100,0.07,0.0059203,0.006204
3500,100,0.07,0.0058832,0.006221
3500,100,0.07,0.0058465,0.006237
3500,100,0.07,0.0058126,0.006253
3500,100,0.07,0.0057788,0.00627
3500,100,0.07,0.0057449,0.006287
3500,100,0.07,0.005711,0.006303
3500,100,0.07,0.0056771,0.006319
3500,100,0.07,0.0056432,0.006336
3500,100,0.07,0.0056094,0.006353
3500,100,0.07,0.0055755,0.006369
3500,100,0.07,0.0055416,0.006385
3500,100,0.07,0.0055077,0.006402
3500,100,0.07,0.0054738,0.006419
3500,100,0.07,0.00544,0.006435
3500,100,0.07,0.0054079,0.006451
3500,100,0.07,0.0053768,0.006468
3500,100,0.07,0.0053456,0.006485
3500,100,0.07,0.0053145,0.006501
3500,100,0.07,0.0052834,0.0065175
3500,100,0.07,0.0052522,0.006534
3500,100,0.07,0.0052211,0.0065505
3500,100,0.07,0.0051899,0.006567
3500,100,0.07,0.0051588,0.0065835
3500,100,0.07,0.0051277,0.0066
3500,100,0.07,0.0050965,0.0066165
3500,100,0.07,0.0050654,0.006633
3500,100,0.07,0.0050365,0.0066495
3500,100,0.07,0.0050077,0.006666
3500,100,0.07,0.0049789,0.0066825
3500,100,0.07,0.00495,0.006699
3500,100,0.07,0.0049212,0.0067155
3500,100,0.07,0.0048924,0.006732
3500,100,0.07,0.0048635,0.0067485
3500,100,0.07,0.0048347,0.006765
3500,100,0.07,0.0048058,0.0067815
3500,100,0.07,0.004777,0.006798
3500,100,0.07,0.0047483,0.0068145
3500,100,0.07,0.0047214,0.006831
3500,100,0.07,0.0046944,0.0068475
3500,100,0.07,0.0046675,0.006864
3500,100,0.07,0.0046406,0.0068805
3500,100,0.07,0.0046136,0.006897
3500,100,0.07,0.0045867,0.0069135
3500,100,0.07,0.0045598,0.00693
3500,100,0.07,0.0045329,0.0069465
3500,100,0.07,0.0045059,0.006963
3500,100,0.07,0.004479,0.0069795
3500,100,0.07,0.0044534,0.006996
3500,100,0.07,0.0044281,0.0070125
3500,100,0.07,0.0044027,0.007029
3500,100,0.07,0.0043774,0.0070455
3500,100,0.07,0.0043521,0.007062
3500,100,0.07,0.0043267,0.0070785
3500,100,0.07,0.0043014,0.007095
3500,100,0.07,0.0042761,0.0071115
3500,100,0.07,0.0042507,0.007128
3500,100,0.07,0.0042257,0.0071445
3500,100,0.07,0.0042018,0.007161
3500,100,0.07,0.0041778,0.0071775
3500,100,0.07,0.0041538,0.007194
3500,100,0.07,0.0041299,0.0072105
3500,100,0.07,0.0041059,0.007227
3500,100,0.07,0.004082,0.0072435
3500,100,0.07,0.004058,0.00726
3500,100,0.07,0.004034,0.0072765
3500,100,0.07,0.0040104,0.007293
3500,100,0.07,0.0039876,0.0073095
3500,100,0.07,0.0039649,0.007326
3500,100,0.07,0.0039421,0.0073425
3500,100,0.07,0.0039194,0.007359
3500,100,0.07,0.0038966,0.0073755
3500,100,0.07,0.0038739,0.007392
3500,100,0.07,0.0038511,0.0074085
3500,100,0.07,0.0038283,0.007425
3500,100,0.07,0.0038065,0.0074415
3500,100,0.07,0.0037848,0.007458
3500,100,0.07,0.0037631,0.0074745
3500,100,0.07,0.0037414,0.007491
3500,100,0.07,0.0037198,0.0075075
3500,100,0.07,0.0036981,0.007524
3500,100,0.07,0.0036764,0.0075405
3500,100,0.07,0.0036547,0.007557
3500,100,0.07,0.0036344,0.0075735
3500,100,0.07,0.003614,0.00759
3500,100,0.07,0.0035937,0.0076065
3500,100,0.07,0.0035734,0.007623
3500,100,0.07,0.0035531,0.0076395
3500,100,0.07,0.0035328,0.007656
3500,100,0.07,0.0035125,0.0076725
3500,100,0.07,0.0034956,0.007689
3500,100,0.07,0.0034811,0.0077055
3500,100,0.07,0.0034666,0.007722
3500,100,0.07,0.0034522,0.0077385
3500,100,0.07,0.0034377,0.007755
3500,100,0.07,0.0034232,0.0077715
3500,100,0.07,0.0034087,0.007788
3500,100,0.07,0.0034123,0.0078045
3500,100,0.07,0.0034242,0.007821
3500,100,0.08,0.0034362,0.0078375
3500,100,0.08,0.0034481,0.007854
3500,100,0.08,0.0034601,0.0078705
3500,100,0.08,0.003472,0.007887
3500,100,0.08,0.0034852,0.0079035
3500,100,0.08,0.0035031,0.00792
3500,100,0.08,0.003521,0.0079365
3500,100,0.08,0.0035388,0.007953
3500,100,0.08,0.0035567,0.0079695
3500,100,0.08,0.0035746,0.007986
